,CID,Description
247,2787,Clinofibrate is an organic molecular entity.
248,114709,"Licarbazepine is a dibenzoazepine that is 5H-dibenzo[b,f]azepine, reduced across the C-10,11 positions and carrying a carbamoyl substituent at the azepine nitrogen and a hydroxy function at C-10. A voltage-gated sodium channel blocker with anticonvulsant and mood-stabilizing effects, it is related to oxcarbazepine and is an active metabolite of oxcarbazepine. It has a role as a sodium channel blocker, an anticonvulsant and a drug allergen. It is a carboxamide, a dibenzoazepine and a member of ureas. It is functionally related to a carbamazepine."
249,2807869,3-amino-5-(3-thiophenyl)-2-thiophenecarboxamide is a ring assembly and a member of thiophenes.
250,3783,4-[1-hydroxy-2-(1-phenoxypropan-2-ylamino)propyl]phenol is an alkylbenzene.
251,3330,"Carbonyl cyanide p-trifluoromethoxyphenylhydrazone is a hydrazone that is hydrazonomalononitrile in which one of the hydrazine hydrogens is substituted by a p-trifluoromethoxyphenyl group. It has a role as an ionophore, an ATP synthase inhibitor and a geroprotector. It is a hydrazone, a nitrile, an organofluorine compound and an aromatic ether. It is functionally related to a hydrazonomalononitrile."
252,560326,"Dimethyloxalylglycine is a glycine derivative that is the diester obtained by formal condensation of the carboxy groups of N-oxalylglycine with two molecules of methanol. It has a role as a neuroprotective agent and an EC 1.14.11.29 (hypoxia-inducible factor-proline dioxygenase) inhibitor. It is a glycine derivative, a methyl ester and a secondary carboxamide. It is functionally related to a N-oxalylglycine."
253,3616,N-(6-acetamidohexyl)acetamide is a member of acetamides.
254,135398744,"Sildenafil is a pyrazolo[4,3-d]pyrimidin-7-one having a methyl substituent at the 1-position, a propyl substituent at the 3-position and a 2-ethoxy-5-[(4-methylpiperazin-1-yl)sulfonyl]phenyl group at the 5-position. It has a role as a vasodilator agent and an EC 3.1.4.35 (3',5'-cyclic-GMP phosphodiesterase) inhibitor. It is a pyrazolopyrimidine, a member of piperazines and a sulfonamide."
255,24868316,"2-amino-4-[4-(2-bromo-4,5-difluorophenoxy)anilino]-4-oxobutanoic acid is an aromatic ether and an organobromine compound."
256,2727397,"5-Methyl-6-(2-thienyl)-2,3,4,5-tetrahydropyridazin-3-one is a member of pyridazines."
257,2910,"Cyclothiazide is 3,4-Dihydro-2H-1,2,4-benzothiadiazine 1,1-dioxide substituted at positions 3, 5 and 6 by a 2-norbornen-5-yl group, chlorine, and a sulfonamide group, respectively. A thiazide diuretic, it has been used in the management of hypertension and oedema. It has a role as a diuretic and an antihypertensive agent."
258,214348,"Deferasirox is a member of the class of triazoles, deferasirox is 1,2,4-triazole substituted by a 4-carboxyphenyl group at position 1 and by 2-hydroxyphenyl groups at positions 3 and 5. An orally active iron chelator, it is used to manage chronic iron overload in patients receiving long-term blood transfusions. It has a role as an iron chelator. It is a member of triazoles, a monocarboxylic acid, a member of benzoic acids and a member of phenols. It is functionally related to a 2,2'-(1-phenyl-1H-1,2,4-triazole-3,5-diyl)diphenol."
259,148198,2-[6-(4-chlorophenoxy)hexyl]-1-cyano-3-pyridin-4-ylguanidine is an aromatic ether.
260,14340,"Dihydroferulic acid is a monocarboxylic acid that is propanoic acid in which one of the hydrogens at position 3 has been replaced by a 4-hydroxy-3-methoxyphenyl group. It has a role as a human xenobiotic metabolite, a plant metabolite, a mouse metabolite and an antioxidant. It is a monocarboxylic acid, a phenylpropanoid and a member of guaiacols. It is functionally related to a propionic acid. It is a conjugate acid of a dihydroferulate."
261,3475,"Gliclazide is a N-sulfonylurea. It has a role as a hypoglycemic agent, a radical scavenger and an insulin secretagogue."
262,219104,2-(butan-2-yldisulfanyl)-1H-imidazole is a member of imidazoles.
263,5394,"Temozolomide is an imidazotetrazine that is 3,4-dihydroimidazo[5,1-d][1,2,3,5]tetrazine which is substituted at positions 3, 4, and 8 by methyl, oxo, and carboxamide groups, respectively. A prodrug for MTIC (5-(3-methyltriaz-1-en-1-yl)-1H-imidazole-4-carboxamide, formed by spontaneous hydrolysis of temozolomide in the body), it is used as an oral alkylating agent for the treatment of newly diagnosed malignant glioblastoma multiforme (concomitantly with radiotherapy) and malignant melanoma. It has a role as an antineoplastic agent, a prodrug and an alkylating agent. It is an imidazotetrazine, a monocarboxylic acid amide and a triazene derivative."
264,8443,2`-Methylacetanilide is a member of toluenes.
265,2221791,"2-[4-chloro-5-(cyclohexylsulfamoyl)-2-methylphenoxy]-N-(1,3,4-thiadiazol-2-yl)acetamide is a sulfonamide."
266,136412260,"4-[5-(3,5-dichlorophenyl)-5-(trifluoromethyl)-4,5-dihydro-1,2-oxazol-3-yl]-N-[(methoxyamino)methylidene]-2-methylbenzamide is a benzamide obtained by formal condensation of the carboxy group of 4-[5-(3,5-dichlorophenyl)-5-(trifluoromethyl)-4,5-dihydro-1,2-oxazol-3-yl]-2-methylbenzoic acid with the amino group of N-methoxymethanimidamide. It is a member of benzamides, an isoxazoline, a dichlorobenzene, a member of formamidines, an organofluorine compound and an ether."
267,60651,LSM-5799 is a member of quinolines.
268,5707,"Xylazine is a methyl benzene that is 1,3-dimethylbenzene which is substituted by a 5,6-dihydro-4H-1,3-thiazin-2-ylnitrilo group at position 2. It is an alpha2 adrenergic receptor agonist and frequently used in veterinary medicine as an emetic and sedative with analgesic and muscle relaxant properties. It has a role as an emetic, an alpha-adrenergic agonist, a sedative, a muscle relaxant and an analgesic. It is a methylbenzene, a 1,3-thiazine and a secondary amino compound. It is a conjugate base of a xylazine(1+)."
269,4731,"3,3-dimethyl-7-oxo-6-[(1-oxo-2-phenoxyethyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid is a penicillin."
270,10248,Elemicin is an olefinic compound.
271,10131112,"5-chloro-2-methyl-3-(1,2,3,6-tetrahydropyridin-4-yl)-1H-indole is a member of indoles."
272,24776445,"Vismodegib is a benzamide obtained by formal condensation between the carboxy group of 2-chloro-4-(methylsulfonyl)benzoic acid and the anilino group of 4-chloro-3-(pyridin-2-yl)aniline. Used for the treatment metastatic basal cell carcinoma. It has a role as an antineoplastic agent, a SMO receptor antagonist, a Hedgehog signaling pathway inhibitor and a teratogenic agent. It is a sulfone, a member of benzamides, a member of pyridines and a member of monochlorobenzenes."
273,415939,Methylpipecolic acid is an alpha-amino acid.
274,15991975,"N-(2,3-dihydro-1,4-benzodioxin-6-yl)-2-[4-(4-morpholinyl)phenyl]-3-imidazo[1,2-a]pyrazinamine is a member of morpholines."
275,3410,"N-[2-hydroxy-5-(1-hydroxy-2-{[1-(4-methoxyphenyl)propan-2-yl]amino}ethyl)phenyl]formamide is a phenylethanoloamine having 4-hydroxy and 3-formamido substituents on the phenyl ring and an N-(4-methoxyphenyl)propan-2-yl substituent. It is a member of phenols, a member of formamides, a secondary amino compound, a secondary alcohol and a member of phenylethanolamines."
276,54687403,"4-hydroxy-1-isobutyl-N-(4-methyl-1,3-thiazol-2-yl)-2-oxoquinoline-3-carboxamide is a member of the class of quinolones that is the amide obtained from formal condensation of the carboxy group of 4-hydroxy-1-isobutyl-2-oxo-1,2-dihydroquinoline-3-carboxylic acid with the amino group of 2-amino-4-methyl-1,3-thiazole. It is a member of 1,3-thiazoles, a monocarboxylic acid amide, a monohydroxyquinoline and a quinolone."
277,31477,"Metipranolol is 3-(Propan-2-ylamino)propane-1,2-diol in which the hydrogen of the primary hydroxy group is substituted by a 4-acetoxy-2,3,5-trimethylphenoxy group. A non-cardioselective beta-blocker, it is used to lower intra-ocular pressure in the management of open-angle glaucoma. It has a role as a beta-adrenergic antagonist, an anti-arrhythmia drug, an antihypertensive agent and an antiglaucoma drug. It is a propanolamine, an acetate ester, an aromatic ether and a secondary amino compound."
278,9906875,"2-cyano-N-(2,5-dibromophenyl)-3-oxobutanamide is an anilide."
279,2746822,"Yoda 1 is a member of the class of thiadiazoles that is 1,3,4-thiadiazole substituted by pyrazin-2-yl and (2,6-dichlorobenzyl)sulfanediyl groups at positions 2 and 5, respectively. It is a selective activator of mechanosensitive channel piezo1. It has a role as a glycine transporter 2 inhibitor and a piezo1 agonist. It is an aromatic compound, a member of pyrazines, a member of thiadiazoles, an organic sulfide and a dichlorobenzene."
280,26049,Car-3-ene is a monoterpene. It derives from a hydride of a carane.
281,4825,Pimpinellin is a furanocoumarin.
282,712609,6-methoxy-2-oxo-N-(3-pyridinylmethyl)-1-benzopyran-3-carboxamide is a member of coumarins.
283,9869737,N-Demethylated piperazine is a member of benzamides.
284,134018,"Febuxostat is a 1,3-thiazolemonocarboxylic acid that is 4-methyl-1,3-thiazole-5-carboxylic acid which is substituted by a 3-cyano-4-(2-methylpropoxy)phenyl group at position 2. It is an orally-active, potent, and selective xanthine oxidase inhibitor used for the treatment of chronic hyperuricaemia in patients with gout. It has a role as an EC 1.17.3.2 (xanthine oxidase) inhibitor. It is an aromatic ether, a nitrile and a 1,3-thiazolemonocarboxylic acid."
285,71739,Carazolol is a member of carbazoles.
286,13401,3-hydroxypicolinic acid is a monohydroxypyridine that is picolinic acid in which the hydrogen at position 3 is replaced by a hydroxy group. It is used as a matrix in matrix-assisted laser desorption/ionization (MALDI) mass spectrometry for the analysis of oligonucleotides. It has a role as a MALDI matrix material. It is a monohydroxypyridine and a monocarboxylic acid.
287,5324,Sulfaguanidine is a sulfonamide incorporating a guanidine moiety used to block the synthesis of folic acid; mostly used in veterinary medicine It has a role as an antiinfective agent.
288,25201623,1-methylhistidine zwitterion is an alpha-amino acid zwitterion obtained by transfer of a proton from the carboxy to the amino group of 1-methylhistidine; major species at pH 7.3. It has a role as a human urinary metabolite. It is a tautomer of a 1-methylhistidine.
289,352019,1-methylhistidine is a methylhistidine in which the methyl group is located at N-1. It has a role as a human urinary metabolite. It is a non-proteinogenic alpha-amino acid and a methylhistidine. It is a tautomer of a 1-methylhistidine zwitterion.
290,11874,"2,3,4-Trihydroxybenzoic acid is a hydroxybenzoic acid."
291,4487,Nifenazone is a ring assembly and a member of pyrazoles.
292,2946754,4-[hydroxy(diphenyl)methyl]-N-(2-phenylethyl)-1-piperidinecarbothioamide is a diarylmethane.
293,3245,"Eprazinone is a member of the class of piperazines in which the two amino hydrogens of piperazine are replaced by 2-benzoylpropyl and 2-ethoxy-2-phenylethyl groups. It has a role as a mucolytic. It is a N-alkylpiperazine, an ether and an aromatic ketone. It is a conjugate base of an eprazinone(2+)."
294,644919,N'-(3-chloro-4-fluorophenyl)-N'-[2-(2-methoxyethylamino)-2-oxoethyl]-N-(2-pyridinyl)butanediamide is an organooxygen compound and an organonitrogen compound. It is functionally related to an alpha-amino acid.
295,2244,"Acetylsalicylic acid is a member of the class of benzoic acids that is salicylic acid in which the hydrogen that is attached to the phenolic hydroxy group has been replaced by an acetoxy group. A non-steroidal anti-inflammatory drug with cyclooxygenase inhibitor activity. It has a role as a non-steroidal anti-inflammatory drug, a non-narcotic analgesic, a platelet aggregation inhibitor, an antipyretic, a cyclooxygenase 2 inhibitor, a cyclooxygenase 1 inhibitor, a prostaglandin antagonist, a teratogenic agent, an anticoagulant, a plant activator, an EC 1.1.1.188 (prostaglandin-F synthase) inhibitor, a drug allergen and a geroprotector. It is a member of benzoic acids, a member of salicylates and a member of phenyl acetates. It is functionally related to a salicylic acid. It is a conjugate acid of an acetylsalicylate."
296,15037,1-(2-Furanylmethyl)-1H-pyrrole is a member of pyrroles.
297,119,"Gamma-aminobutyric acid is a gamma-amino acid that is butanoic acid with the amino substituent located at C-4. It has a role as a signalling molecule, a human metabolite, a Saccharomyces cerevisiae metabolite and a neurotransmitter. It is a gamma-amino acid and a monocarboxylic acid. It is functionally related to a butyric acid. It is a conjugate acid of a gamma-aminobutyrate. It is a tautomer of a gamma-aminobutyric acid zwitterion."
298,6992099,Gamma-aminobutyric acid zwitterion is zwitterionic form of gamma-aminobutyric acid having an anionic carboxy group and a protonated amino group. It is a tautomer of a gamma-aminobutyric acid.
299,4380,"Clorgyline is an aromatic ether that is the 2,4-dichlorophenyl ether of 3-aminopropan-1-ol in which the nitrogen is substituted by a methyl group and a prop-1-yn-3-yl group. A monoamine oxidase inhibitor, it was formerly used as an antidepressant. It has a role as an EC 1.4.3.4 (monoamine oxidase) inhibitor and an antidepressant. It is a tertiary amino compound, a terminal acetylenic compound, an aromatic ether and a dichlorobenzene."
300,19675,1-[10-[3-[4-(2-hydroxyethyl)-1-piperidinyl]propyl]-2-phenothiazinyl]ethanone is a member of phenothiazines.
301,107706,Sivelestat is a N-acylglycine and a pivalate ester. It is functionally related to a N-benzoylglycine.
302,980,4-nitrophenol is a member of the class of 4-nitrophenols that is phenol in which the hydrogen that is para to the hydroxy group has been replaced by a nitro group. It has a role as a human xenobiotic metabolite and a mouse metabolite. It is a conjugate acid of a 4-nitrophenolate.
303,1251624,"1-methylsulfonyl-N-(6,7,8,9-tetrahydrodibenzofuran-2-yl)-2,3-dihydroindole-5-sulfonamide is a sulfonamide."
304,997,"Keto-phenylpyruvic acid is a 2-oxo monocarboxylic acid that is 3-phenylpropanoic acid substituted by an oxo group at position 2. It is an intermediate metabolite in the phenylalanine pathway. It has a role as a fundamental metabolite, a chromogenic compound and an EC 6.4.1.1 (pyruvate carboxylase) inhibitor. It is functionally related to a pyruvic acid. It is a conjugate acid of a keto-phenylpyruvate. It is a tautomer of an enol-phenylpyruvic acid."
305,866272,1-ethyl-N-[(4-methoxyphenyl)methyl]-5-benzimidazolamine is a member of benzimidazoles.
306,2776,"N-{4-[(3-bromophenyl)amino]quinazolin-6-yl}but-2-ynamide is a member of the class of quinazolines that is 4,6-diaminoquinazoine in which the one of the hydrogens attached to the amino group at position 4 has been replaced by a m-bromophenyl group while one of the hydrogens attached to the amino group at position 6 has been replaced by a but-2-ynoyl group. It has a role as an epidermal growth factor receptor antagonist, an antineoplastic agent and an EC 2.7.10.1 (receptor protein-tyrosine kinase) inhibitor. It is a member of quinazolines, a ynamide, a member of bromobenzenes and a secondary carboxamide."
307,4054,"Memantine is a primary aliphatic amine that is the 3,5-dimethyl derivative of 1-aminoadamantane. A low to moderate affinity uncompetitive (open-channel); NMDA receptor antagonist which binds preferentially to the NMDA receptor-operated cation channels. It has a role as a dopaminergic agent, an antiparkinson drug, a NMDA receptor antagonist, a neuroprotective agent and an antidepressant. It is a member of adamantanes and a primary aliphatic amine. It is a conjugate base of a memantinium(1+). It derives from a hydride of an adamantane."
308,38945,"Tocainide is a monocarboxylic acid amide in which 2,6-dimethylphenylaniline and isobutyric acid have combined to form the amide bond; used as a local anaesthetic. It has a role as a local anaesthetic, an anti-arrhythmia drug and a sodium channel blocker."
309,584509,1-adamantyl(piperidino)methanone is a N-acylpiperidine.
310,5309030,"2-[[2-(3,4-dimethoxyphenyl)-5-methyl-4-oxazolyl]methylsulfinyl]-N-(1,2,3,4-tetrahydronaphthalen-1-yl)acetamide is a member of 1,3-oxazoles."
311,2125,"AM-251 is a carbohydrazide obtained by formal condensation of the carboxy group of 1-(2,4-dichlorophenyl)-5-(4-iodophenyl)-4-methyl-1H-pyrazole-3-carboxylic acid with the amino group of 1-aminopiperidine. An antagonist at the CB1 cannabinoid receptor. It has a role as a CB1 receptor antagonist, an apoptosis inducer, an antidepressant and an antineoplastic agent. It is a member of pyrazoles, a dichlorobenzene, an organoiodine compound, an amidopiperidine and a carbohydrazide."
312,3134,"N(6),N(6)-dimethyladenine is a tertiary amine that is adenine substituted at N-6 by geminal methyl groups. It is functionally related to an adenine."
313,125,P-hydroxybenzyl alcohol is a member of the class of benzyl alcohols that is benzyl alcohol substituted by a hydroxy group at position 4. It has been isolated from Arcangelisia gusanlung. It has a role as a plant metabolite. It is a member of phenols and a member of benzyl alcohols.
314,24772043,"Tenovin-6 is a monocarboxylic acid amide obtained by formal condensation of the carboxy group of 5-(dimethylamino)pentanoic acid with the aromatic amino group of N-[(4-aminophenyl)carbamothioyl]-4-tert-butylbenzamide. It has a role as an antineoplastic agent, a Sir2 inhibitor and a p53 activator. It is a monocarboxylic acid amide, a member of thioureas and a tertiary amino compound."
315,767,Carbonic acid is a carbon oxoacid and a chalcocarbonic acid. It has a role as a mouse metabolite. It is a conjugate acid of a hydrogencarbonate.
316,2780,4-amino-5-chloro-2-methoxy-N-[1-(phenylmethyl)-4-piperidinyl]benzamide is a member of piperidines.
317,11363,"1-phenyl-1,2-propanedione is an alpha-diketone that consists of 1-phenylpropane bearing keto substituents at positions 1 and 2. It is found in coffee. It has a role as a plant metabolite. It is an alpha-diketone and an aromatic ketone. It derives from a hydride of a propylbenzene."
318,19844,"Methyl vanillate is a benzoate ester that is the methyl ester of vanillic acid. It has a role as an antioxidant and a plant metabolite. It is a benzoate ester, a member of phenols and an aromatic ether. It is functionally related to a vanillic acid."
319,9550235,"4-[[[4-[(4-fluorophenyl)methyl]-2,3-dihydro-1,4-benzothiazin-6-yl]-oxomethyl]amino]-1-piperidinecarboxylic acid ethyl ester is a benzothiazine."
320,11671,2-hydroxyisobutyric acid is a 2-hydroxy monocarboxylic acid that is isobutyric acid bearing a hydroxy substituent at position 2. It is a metabolite of methyl tertiary-butyl ether. It has a role as a human xenobiotic metabolite. It is functionally related to an isobutyric acid. It is a conjugate acid of a 2-hydroxyisobutyrate.
321,4976,"Protriptyline is a carbotricyclic compound. It has a role as an antidepressant. It derives from a hydride of a dibenzo[a,d][7]annulene."
322,971316,2-[[[2-(2-methoxyphenyl)ethylamino]-oxomethyl]amino]benzoic acid methyl ester is a benzoate ester.
323,3815334,"2-[(2,6-dichlorophenyl)methyl]-6-phenyl-5-(1-piperidinyl)-3-pyridazinone is a member of pyridazines and a ring assembly."
324,160562,"Isohomovanillic acid is a member of the class of phenylacetic acids that is the 4-O-methyl ether of (3,4-dihydroxyphenyl)acetic acid. It has a role as a metabolite. It is an aromatic ether, a member of phenols and a member of phenylacetic acids. It is functionally related to a (3,4-dihydroxyphenyl)acetic acid."
325,9549298,[4-[[4-(1-benzothiophen-2-yl)-2-pyrimidinyl]amino]phenyl]-[4-(1-pyrrolidinyl)-1-piperidinyl]methanone is a N-acylpiperidine and a member of benzamides.
326,1370,"1,3-benzodioxol-5-yl(1-piperidinyl)methanone is a N-acylpiperidine."
327,4312795,2-(2-quinoxalinylthio)propanoic acid is a quinoxaline derivative.
328,5308525,[5-(2-methoxyphenyl)-3-isoxazolyl]-(1-piperidinyl)methanone is a N-acylpiperidine.
329,5280953,"Harmine is a harmala alkaloid in which the harman skeleton is methoxy-substituted at C-7. It has a role as a metabolite, an anti-HIV agent and an EC 1.4.3.4 (monoamine oxidase) inhibitor. It derives from a hydride of a harman."
330,159603,Resiquimod is an imidazoquinoline.
331,2682,"Hexadecan-1-ol is a long-chain primary fatty alcohol that is hexadecane substituted by a hydroxy group at position 1. It has a role as a human metabolite, an algal metabolite, a plant metabolite and a flavouring agent. It is a long-chain primary fatty alcohol and a hexadecanol."
332,4189,"1-[2-(2,4-dichlorobenzyloxy)-2-(2,4-dichlorophenyl)ethyl]imidazole is a member of the class of imidazoles that is 1-(2,4-dichlorophenyl)-2-(imidazol-1-yl)ethanol in which the hydroxyl hydrogen is replaced by a 2,4-dichlorobenzyl group. It is an ether, a member of imidazoles and a dichlorobenzene."
333,2313,"Bendazac is a monocarboxylic acid that is glycolic acid in which the hydrogen attached to the 2-hydroxy group is replaced by a 1-benzyl-1H-indazol-3-yl group. Although it has anti-inflammatory, antinecrotic, choleretic and antilipidaemic properties and has been used for the treatment of various inflammatory skin disorders, its principal effect is to inhibit the denaturation of proteins. Its lysine salt is used in the management of cataracts. It has a role as a radical scavenger and a non-steroidal anti-inflammatory drug. It is a member of indazoles and a monocarboxylic acid."
334,16757,5-phenylpentanoic acid is a monocarboxylic acid that is valeric acid substituted by a phenyl group at the delta-position. It is a monocarboxylic acid and a member of benzenes. It is functionally related to a valeric acid.
335,5419,Tetryzoline is a member of imidazolines and a carboxamidine. It has a role as a sympathomimetic agent and a nasal decongestant. It is a conjugate base of a tetryzoline(1+).
336,3563638,"2-acetamido-3-(1H-indol-3-yl)propanoic acid [3,5-bis(trifluoromethyl)phenyl]methyl ester is a N-acyl-amino acid."
337,4381769,"Ethyl 4-(3-oxo-2,3-dihydroisothiazol-2-yl)benzoate is an organic molecular entity."
338,3180,Dyclonine is n-Ethylpiperidine in which one of the hydrogens attached to the methyl group is substituted by a 4-butoxybenzoyl group. It has a role as a topical anaesthetic. It is a member of piperidines and an aromatic ketone.
339,1986,"Acetazolamide is a sulfonamide, a member of thiadiazoles and a monocarboxylic acid amide. It has a role as a diuretic, an anticonvulsant and an EC 4.2.1.1 (carbonic anhydrase) inhibitor. It is a conjugate acid of an acetazolamide(1-). It derives from a hydride of a 1,3,4-thiadiazole."
340,135431997,"6-[(1H-benzimidazol-2-ylthio)methyl]-1-phenyl-2H-pyrazolo[3,4-d]pyrimidin-4-one is a member of pyrazoles and a ring assembly."
341,4159955,1-(1H-benzimidazol-2-yl)-3-cyclohexylurea is a member of benzimidazoles.
342,89216,"N-acetyltyrosine is an N-acetyl-amino acid that is tyrosine with an amine hydrogen substituted by an acetyl group. It has a role as a human urinary metabolite. It is a tyrosine derivative, a N-acetyl-amino acid and a member of phenols. It is functionally related to a tyrosine."
343,6843,Propoxycaine is a benzoate ester.
344,4629,Oxotremorine M is a quaternary ammonium ion. It has a role as a muscarinic agonist.
345,563,"3-(methylthio)propionic acid is a thia fatty acid acid consisting of propionic acid with a methylthio substituent at the 3-position; an intermediate in mammalian methionine metabolism in vitro. The simplest known phytotoxin, it is a blight-inducing toxin produced by the cassava pathogen Xanthomonas campestris manihotis. It has a role as a phytotoxin. It is functionally related to a propionic acid. It is a conjugate acid of a 3-(methylthio)propionate."
346,54685215,2-[[[4-hydroxy-2-oxo-1-(phenylmethyl)-3-quinolinyl]-oxomethyl]amino]acetic acid is a member of quinolines.
347,15604015,3-(4-chlorophenyl)-N-(pyridin-4-ylmethyl)-1-adamantanecarboxamide is an organochlorine compound.
348,704124,"2-(1H-benzimidazol-2-ylthio)-1-(2,3-dimethyl-1-indolyl)ethanone is a methylindole."
349,9865587,"SD-06 is a member of the class of pyrazoles that is 1H-pyrazole in which the hydrogens at positions 3, 4, and 5 are replaced by N-(hydroxyacetyl)piperidin-4-yl, pyrimidin-4-yl and p-chlorophenyl groups, respectively. It is a member of pyrazoles, a member of pyrimidines, a N-acylpiperidine, a member of monochlorobenzenes and a primary alcohol."
350,2790144,"2-[[butoxy(oxo)methyl]amino]-5,6-dihydro-4H-cyclopenta[b]thiophene-3-carboxylic acid methyl ester is a thiophenecarboxylic acid."
351,5058847,"2-(3-methyl-1-oxo-2-isoquinolinyl)-N-(3,4,5-trimethoxyphenyl)acetamide is a member of isoquinolines."
352,1398093,"N-(4-methylphenyl)-4-benzofuro[3,2-d]pyrimidinamine is a member of benzofurans."
353,8467,"Ethyl vanillin is a member of the class of benzaldehydes that is vanillin in which the methoxy group is replaced by an ethoxy group. It has a role as an antioxidant and a flavouring agent. It is a member of benzaldehydes, a member of phenols and an aromatic ether. It is functionally related to a vanillin."
354,3022645,2-[(2-ethoxyphenoxy)-phenylmethyl]morpholine is an aromatic ether.
355,2000,N-acetylphenylalanine is the N-acetyl derivative of phenylalanine. It has a role as an antidepressant and a metabolite. It is a N-acetyl-amino acid and a phenylalanine derivative.
356,5413,Tetraethylammonium is a quaternary ammonium ion.
357,3163460,"3-(benzenesulfonyl)-N-[5-(trifluoromethyl)-1,3,4-thiadiazol-2-yl]propanamide is a sulfonamide."
358,89235,"Homocarnosine is a histidine derivative that is histidine in which one of the hydrogens attached to the alpha-amino group has been replaced by a 4-aminobutanoyl group. It has a role as a metabolite. It is a histidine derivative, a N-acyl-amino acid and a member of imidazoles. It is functionally related to a gamma-aminobutyric acid."
359,644606,2-phenoxy-N-(2-pyridinyl)butanamide is an aromatic ether.
360,2568,"Cyclobutane-1,1-dicarboxylic acid is a cyclobutanedicarboxylic acid. It is a conjugate acid of a cyclobutane-1,1-dicarboxylate(1-)."
361,740413,"N-(2-phenyl-3-imidazo[1,2-a]pyridinyl)carbamic acid methyl ester is a member of imidazoles."
362,11970,(2-hydroxyphenyl)acetic acid is a hydroxy monocarboxylic acid that is acetic acid in which one of the methyl hydrogens is substituted by a 2-hydroxyphenyl group. It is a metabolite of phenylalanine and is excreted in the urine of patients suffering from diseases like phenylketonuria. It has a role as a human metabolite and a mouse metabolite. It is a member of phenols and a hydroxy monocarboxylic acid. It is functionally related to an acetic acid and a phenol. It is a conjugate acid of a (2-hydroxyphenyl)acetate.
363,667351,"3-(2,3-dihydro-1,4-benzodioxin-3-yl)-6-(4-fluorophenyl)-[1,2,4]triazolo[3,4-b][1,3,4]thiadiazole is a benzodioxine and a triazolothiadiazole."
364,892,"Myo-inositol is an inositol having myo- configuration. It has a role as a member of compatible osmolytes, a nutrient, an EC 3.1.4.11 (phosphoinositide phospholipase C) inhibitor, a human metabolite, a Daphnia magna metabolite, a Saccharomyces cerevisiae metabolite, an Escherichia coli metabolite and a mouse metabolite."
365,5310871,"3-(3,5-dimethyl-1-pyrazolyl)-5-phenyl-1,2,4-triazine is a member of 1,2,4-triazines."
366,14274897,5-aminovaleric acid betaine is a straight-chain fatty acid.
367,176155,"SB 203580 is a member of the class of imidazoles carrying 4-methylsulfinylphenyl, 4-pyridyl and 4-fluorophenyl substituents at positions 2, 4 and 5 respectively. An inhibitor of mitogen-activated protein kinase. It has a role as an EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor, a Hsp90 inhibitor, a neuroprotective agent, an EC 2.7.11.1 (non-specific serine/threonine protein kinase) inhibitor and a geroprotector. It is a member of imidazoles, a member of monofluorobenzenes, a member of pyridines and a sulfoxide."
368,6549,"Linalool is a monoterpenoid that is octa-1,6-diene substituted by methyl groups at positions 3 and 7 and a hydroxy group at position 3. It has been isolated from plants like Ocimum canum. It has a role as a plant metabolite, a volatile oil component, an antimicrobial agent and a fragrance. It is a tertiary alcohol and a monoterpenoid."
369,25195294,"4-[6-[4-(1-piperazinyl)phenyl]-3-pyrazolo[1,5-a]pyrimidinyl]quinoline is a member of pyrimidines."
370,659709,"5-(3-butoxyphenyl)-1,3,4-thiadiazol-2-amine is an aromatic ether."
371,5477073,"Carbocyanin DBTC(1+) is a symmetrical C3 cyanine dye having 1-ethylnaphtho[1,2-d][1,3]thiazol-2-yl groups at each end. It has a role as a fluorochrome. It is a cyanine dye and an organic cation."
372,311434,"1-(5-chloro-2,4-dimethoxyphenyl)-3-(5-methyl-3-isoxazolyl)urea is a member of ureas."
373,4631,1-(propan-2-ylamino)-3-(2-prop-2-enoxyphenoxy)-2-propanol is an aromatic ether.
374,4121,Methyclothiazide is a benzothiadiazine.
375,60795,"Aripiprazole is an N-arylpiperazine that is piperazine substituted by a 4-[(2-oxo-1,2,3,4-tetrahydroquinolin-7-yl)oxy]butyl group at position 1 and by a 2,3-dichlorophenyl group at position 4. It is an antipsychotic drug used for the treatment of Schizophrenia, and other mood disorders. It has a role as a H1-receptor antagonist, a serotonergic agonist, a second generation antipsychotic and a drug metabolite. It is a quinolone, a N-arylpiperazine, a N-alkylpiperazine, a dichlorobenzene, an aromatic ether and a delta-lactam."
376,151170,4-cyano-4-(3-cyclopentyloxy-4-methoxyphenyl)-1-cyclohexanecarboxylic acid is a member of methoxybenzenes.
377,547,"(3,4-dihydroxyphenyl)acetic acid is a dihydroxyphenylacetic acid having the two hydroxy substituents located at the 3- and 4-positions. It is a metabolite of dopamine. It has a role as a human metabolite. It is a dihydroxyphenylacetic acid and a member of catechols. It is functionally related to a phenylacetic acid. It is a conjugate acid of a (3,4-dihydroxyphenyl)acetate."
378,2562,1-phenyl-1-cyclopentanecarboxylic acid 2-[2-(diethylamino)ethoxy]ethyl ester is a member of benzenes.
