Unnamed: 0,CID,Description,Dominant_topic,Perc_Contrib,Topic_Keywords,Text
1175,611513,Marmesin galactoside is a member of psoralens.,Metabolite,0.641,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['marmesin', 'galactosid', 'member', 'psoralen']"
1176,4995974,"5-[(5-bromo-2-ethoxyphenyl)sulfonylamino]-2-chloro-N,N-dimethylbenzenesulfonamide is a sulfonamide.",No annotation,0.9248,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['bromo', 'ethoxyphenyl', 'sulfonylamino', 'chloro', 'n', 'n', 'dimethylbenzenesulfonamid', 'sulfonamid']"
1177,4847,"3-[2-[4-[(4-fluorophenyl)-oxomethyl]-1-piperidinyl]ethyl]-2-methyl-4-pyrido[1,2-a]pyrimidinone is an aromatic ketone.",No annotation,0.933,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['fluorophenyl', 'oxomethyl', 'piperidinyl', 'ethyl', 'methyl', 'pyrido', 'pyrimidinon', 'aromat', 'keton']"
1178,31242,4-ethylphenol is a member of the class of phenols carrying an ethyl substituent at position 4. It has a role as a fungal xenobiotic metabolite.,Drug,0.5403,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['ethylphenol', 'member', 'class', 'phenol', 'carri', 'ethyl', 'substitu', 'posit', 'role', 'fungal', 'xenobiot', 'metabolit']"
1179,849,Pipecolic acid is a piperidinemonocarboxylic acid in which the carboxy group is located at position C-2. It is a conjugate acid of a pipecolate.,Metabolite,0.93,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['pipecol', 'acid', 'piperidinemonocarboxyl', 'acid', 'carboxi', 'group', 'locat', 'posit', 'c', 'conjug', 'acid', 'pipecol']"
1180,2082,"Albendazole is a carbamate ester that is methyl 1H-benzimidazol-2-ylcarbamate substituted by a propylsulfanyl group at position 5. It is commonly used in the treatment of parasitic worm infestations. It has a role as a tubulin modulator, a microtubule-destabilising agent and an anthelminthic drug. It is a carbamate ester, a benzimidazolylcarbamate fungicide, an aryl sulfide and a member of benzimidazoles.",Drug,0.6142,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['albendazol', 'carbam', 'ester', 'methyl', 'h', 'benzimidazol', 'ylcarbam', 'substitut', 'propylsulfanyl', 'group', 'posit', 'common', 'use', 'treatment', 'parasit', 'worm', 'infest', 'role', 'tubulin', 'modul', 'microtubul', 'destabilis', 'agent', 'anthelminth', 'drug', 'carbam', 'ester', 'benzimidazolylcarbam', 'fungicid', 'aryl', 'sulfid', 'member', 'benzimidazol']"
1181,1049793,2-[[3-cyano-4-(2-methoxyphenyl)-6-phenyl-2-pyridinyl]thio]acetic acid is a phenylpyridine.,No annotation,0.7035,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['cyano', 'methoxyphenyl', 'phenyl', 'pyridinyl', 'thio', 'acet', 'acid', 'phenylpyridin']"
1182,2372,"Bevantolol is a propanolamine that is 3-aminopropane-1,2-diol in which the hydrogen of the primary hydroxy group is substituted by 3-methylphenyl and one of the hydrogens attached to the nitrogen is substituted by 2-(3,4-dimethoxyphenyl)ethyl. A beta1 adrenoceptor antagonist, it has been shown to be as effective as other beta-blockers for the treatment of angina pectoris and hypertension. It has a role as a beta-adrenergic antagonist, a calcium channel blocker, an antihypertensive agent and an anti-arrhythmia drug.",Drug,0.9079,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['bevantolol', 'propanolamin', 'aminopropan', 'diol', 'hydrogen', 'primari', 'hydroxi', 'group', 'substitut', 'methylphenyl', 'one', 'hydrogen', 'attach', 'nitrogen', 'substitut', 'dimethoxyphenyl', 'ethyl', 'beta', 'adrenoceptor', 'antagonist', 'shown', 'effect', 'beta', 'blocker', 'treatment', 'angina', 'pectori', 'hypertens', 'role', 'beta', 'adrenerg', 'antagonist', 'calcium', 'channel', 'blocker', 'antihypertens', 'agent', 'anti', 'arrhythmia', 'drug']"
1183,135398752,"Alloxanthine is a pyrazolopyrimidine that is 4,5,6,7-tetrahydro-H-pyrazolo[3,4-d]pyrimidine substituted by oxo groups at positions 4 and 6. It has a role as an EC 1.17.3.2 (xanthine oxidase) inhibitor and a drug metabolite.",Drug,0.558,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['alloxanthin', 'pyrazolopyrimidin', 'tetrahydro', 'h', 'pyrazolo', 'pyrimidin', 'substitut', 'oxo', 'group', 'posit', 'role', 'ec', 'xanthin', 'oxidas', 'inhibitor', 'drug', 'metabolit']"
1184,67361,Ethylmercurithiosalicylic acid is an alkylmercury compound. It is a conjugate acid of an ethylmercurithiosalicylate.,Metabolite,0.6565,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['ethylmercurithiosalicyl', 'acid', 'alkylmercuri', 'compound', 'conjug', 'acid', 'ethylmercurithiosalicyl']"
1185,654230,"2-(2-methoxyethylthio)-N-(1,3,4-thiadiazol-2-yl)benzamide is a carbonyl compound.",No annotation,0.9154,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['methoxyethylthio', 'n', 'thiadiazol', 'yl', 'benzamid', 'carbonyl', 'compound']"
1186,4671,"Palmitoyl ethanolamide is an N-(long-chain-acyl)ethanolamine that is the ethanolamide of palmitic (hexadecanoic) acid. It has a role as an anti-inflammatory drug, an antihypertensive agent, a neuroprotective agent and an anticonvulsant. It is a N-(long-chain-acyl)ethanolamine, an endocannabinoid and a N-(saturated fatty acyl)ethanolamine. It is functionally related to a hexadecanoic acid.",Metabolite,0.5275,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['palmitoyl', 'ethanolamid', 'n', 'long', 'chain', 'acyl', 'ethanolamin', 'ethanolamid', 'palmit', 'hexadecano', 'acid', 'role', 'anti', 'inflammatori', 'drug', 'antihypertens', 'agent', 'neuroprotect', 'agent', 'anticonvuls', 'n', 'long', 'chain', 'acyl', 'ethanolamin', 'endocannabinoid', 'n', 'satur', 'fatti', 'acyl', 'ethanolamin', 'function', 'relat', 'hexadecano', 'acid']"
1187,7362,Furfural is an aldehyde that is furan with the hydrogen at position 2 substituted by a formyl group. It has a role as a Maillard reaction product and a metabolite. It is a member of furans and an aldehyde. It is functionally related to a furan.,Metabolite,0.531,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['furfur', 'aldehyd', 'furan', 'hydrogen', 'posit', 'substitut', 'formyl', 'group', 'role', 'maillard', 'reaction', 'product', 'metabolit', 'member', 'furan', 'aldehyd', 'function', 'relat', 'furan']"
1188,135421442,"Hesperadin is an oxindole that is indolin-2-one which is substituted at position 5 by an (ethylsulfonyl)nitrilo group and at position 2 by a methylidene group, which is itself substituted by a phenyl group and a [4-(piperidin-1-ylmethyl)phenyl]amino group. An Aurora B kinase inhibitor, it is used to inhibit chromosome alignment and segregation. It has a role as an Aurora kinase inhibitor. It is a member of oxindoles, a member of piperidines, a sulfonamide, an enamine and a tertiary amino compound.",Drug,0.7859,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['hesperadin', 'oxindol', 'indolin', 'one', 'substitut', 'posit', 'ethylsulfonyl', 'nitrilo', 'group', 'posit', 'methyliden', 'group', 'substitut', 'phenyl', 'group', 'piperidin', 'ylmethyl', 'phenyl', 'amino', 'group', 'aurora', 'b', 'kinas', 'inhibitor', 'use', 'inhibit', 'chromosom', 'align', 'segreg', 'role', 'aurora', 'kinas', 'inhibitor', 'member', 'oxindol', 'member', 'piperidin', 'sulfonamid', 'enamin', 'tertiari', 'amino', 'compound']"
1189,10472693,"Bempedoic acid is an alpha,omega-dicarboxylic acid that is pentadecanedioic acid which is substituted by methyl groups groups at positions 2 and 14, and by a hydroxy group at position 8. It is a drug used for the treatment of high LDL cholesterol, which is sometimes referred to as 'bad cholesterol'. It has a role as an antilipemic drug, an EC 2.3.3.8 (ATP citrate synthase) inhibitor and a prodrug.",Drug,0.6784,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['bempedo', 'acid', 'alpha', 'omega', 'dicarboxyl', 'acid', 'pentadecanedio', 'acid', 'substitut', 'methyl', 'group', 'group', 'posit', 'hydroxi', 'group', 'posit', 'drug', 'use', 'treatment', 'high', 'ldl', 'cholesterol', 'sometim', 'refer', 'bad', 'cholesterol', 'role', 'antilipem', 'drug', 'ec', 'atp', 'citrat', 'synthas', 'inhibitor', 'prodrug']"
1190,3359480,"N-(4-methoxyphenyl)-2-(N-methylanilino)-2-(6-nitro-1,3-benzodioxol-5-yl)acetamide is an amino acid amide.",No annotation,0.8512,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['n', 'methoxyphenyl', 'n', 'methylanilino', 'nitro', 'benzodioxol', 'yl', 'acetamid', 'amino', 'acid', 'amid']"
1191,11265,Ethyl isopropyl ketone is a ketone.,No annotation,0.67,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['ethyl', 'isopropyl', 'keton', 'keton']"
1192,92180,N(6)-dimethylallyladenine is a 6-isopentenylaminopurine in which has the isopentenyl double bond is located between the 2 and 3 positions of the isopentenyl group. It has a role as a cytokinin.,Metabolite,0.8088,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['n', 'dimethylallyladenin', 'isopentenylaminopurin', 'isopentenyl', 'doubl', 'bond', 'locat', 'posit', 'isopentenyl', 'group', 'role', 'cytokinin']"
1193,4495,"Nimesulide is an aromatic ether having phenyl and 2-methylsulfonamido-5-nitrophenyl as the two aryl groups. It has a role as a cyclooxygenase 2 inhibitor and a non-steroidal anti-inflammatory drug. It is a C-nitro compound, a sulfonamide and an aromatic ether. It is functionally related to a nitrobenzene.",Drug,0.7046,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['nimesulid', 'aromat', 'ether', 'phenyl', 'methylsulfonamido', 'nitrophenyl', 'two', 'aryl', 'group', 'role', 'cyclooxygenas', 'inhibitor', 'non', 'steroid', 'anti', 'inflammatori', 'drug', 'c', 'nitro', 'compound', 'sulfonamid', 'aromat', 'ether', 'function', 'relat', 'nitrobenzen']"
1194,164676,"1,6,6-trimethyl-8,9-dihydro-7H-naphtho[1,2-g]benzofuran-10,11-dione is an abietane diterpenoid.",No annotation,0.9318,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['trimethyl', 'dihydro', 'h', 'naphtho', 'g', 'benzofuran', 'dion', 'abietan', 'diterpenoid']"
1195,4044,"Mefenamic acid is an aminobenzoic acid that is anthranilic acid in which one of the hydrogens attached to the nitrogen is replaced by a 2,3-dimethylphenyl group. Although classed as a non-steroidal anti-inflammatory drug, its anti-inflammatory properties are considered to be minor. It is used to relieve mild to moderate pain, including headaches, dental pain, osteoarthritis and rheumatoid arthritis. It has a role as an analgesic, an antirheumatic drug, a non-steroidal anti-inflammatory drug, an antipyretic, an EC 1.14.99.1 (prostaglandin-endoperoxide synthase) inhibitor, an environmental contaminant and a xenobiotic. It is an aminobenzoic acid and a secondary amino compound.",Drug,0.8182,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['mefenam', 'acid', 'aminobenzo', 'acid', 'anthranil', 'acid', 'one', 'hydrogen', 'attach', 'nitrogen', 'replac', 'dimethylphenyl', 'group', 'although', 'class', 'non', 'steroid', 'anti', 'inflammatori', 'drug', 'anti', 'inflammatori', 'properti', 'consid', 'minor', 'use', 'reliev', 'mild', 'moder', 'pain', 'includ', 'headach', 'dental', 'pain', 'osteoarthr', 'rheumatoid', 'arthriti', 'role', 'analges', 'antirheumat', 'drug', 'non', 'steroid', 'anti', 'inflammatori', 'drug', 'antipyret', 'ec', 'prostaglandin', 'endoperoxid', 'synthas', 'inhibitor', 'environment', 'contamin', 'xenobiot', 'aminobenzo', 'acid', 'secondari', 'amino', 'compound']"
1196,700,"Ethanolamine is a member of the class of ethanolamines that is ethane with an amino substituent at C-1 and a hydroxy substituent at C-2, making it both a primary amine and a primary alcohol. It has a role as a human metabolite, an Escherichia coli metabolite and a mouse metabolite. It is a primary amine, a primary alcohol and a member of ethanolamines. It is a conjugate base of an ethanolaminium(1+).",Metabolite,0.5638,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['ethanolamin', 'member', 'class', 'ethanolamin', 'ethan', 'amino', 'substitu', 'c', 'hydroxi', 'substitu', 'c', 'make', 'primari', 'amin', 'primari', 'alcohol', 'role', 'human', 'metabolit', 'escherichia', 'coli', 'metabolit', 'mous', 'metabolit', 'primari', 'amin', 'primari', 'alcohol', 'member', 'ethanolamin', 'conjug', 'base', 'ethanolaminium']"
1197,2611430,"2-(2,3-dihydro-1H-inden-5-yloxy)-1-(2,3-dihydroindol-1-yl)ethanone is a member of indoles.",No annotation,0.9329,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['dihydro', 'h', 'inden', 'yloxi', 'dihydroindol', 'yl', 'ethanon', 'member', 'indol']"
1198,646668,"N-(1,3-benzothiazol-2-yl)-N-methylbenzamide is a member of benzothiazoles.",No annotation,0.9161,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['n', 'benzothiazol', 'yl', 'n', 'methylbenzamid', 'member', 'benzothiazol']"
1199,6336,"2-(4-chlorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)hexanenitrile is a nitrile that is hexanenitrile substituted at the 2-position by p-chlorophenyl and (1,2,4-triazol-1-yl)methyl groups. It is a nitrile, a member of triazoles and a member of monochlorobenzenes.",No annotation,0.6343,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['chlorophenyl', 'h', 'triazol', 'ylmethyl', 'hexanenitril', 'nitril', 'hexanenitril', 'substitut', 'posit', 'p', 'chlorophenyl', 'triazol', 'yl', 'methyl', 'group', 'nitril', 'member', 'triazol', 'member', 'monochlorobenzen']"
1200,3682562,4-acetamido-N-(2-hydroxyphenyl)benzamide is a member of benzamides.,No annotation,0.7563,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['acetamido', 'n', 'hydroxyphenyl', 'benzamid', 'member', 'benzamid']"
1201,25182616,"2-[[2-[[1-[2-(dimethylamino)-1-oxoethyl]-5-methoxy-2,3-dihydroindol-6-yl]amino]-7H-pyrrolo[2,3-d]pyrimidin-4-yl]amino]-6-fluoro-N-methylbenzamide is an organooxygen compound and an organonitrogen compound. It is functionally related to an alpha-amino acid.",No annotation,0.7685,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['dimethylamino', 'oxoethyl', 'methoxi', 'dihydroindol', 'yl', 'amino', 'h', 'pyrrolo', 'pyrimidin', 'yl', 'amino', 'fluoro', 'n', 'methylbenzamid', 'organooxygen', 'compound', 'organonitrogen', 'compound', 'function', 'relat', 'alpha', 'amino', 'acid']"
1202,2907665,N-cyclohexyl-4-(4-nitrophenyl)-1-piperazinecarbothioamide is a member of piperazines.,No annotation,0.9019,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['n', 'cyclohexyl', 'nitrophenyl', 'piperazinecarbothioamid', 'member', 'piperazin']"
1203,20525,"2,4,5-trimethoxybenzaldehyde is a carbonyl compound.",No annotation,0.7636,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['trimethoxybenzaldehyd', 'carbonyl', 'compound']"
1204,2833,"Colchicine is an alkaloid that is a carbotricyclic compound comprising 5,6,7,9-tetrahydrobenzo[a]heptalene having four methoxy substituents at the 1-, 2-, 3- and 10-positions as well as an oxo group at the 9-position and an acetamido group at the 7-position. It has been isolated from the plants belonging to genus Colchicum. It has a role as a microtubule-destabilising agent and a plant metabolite. It is a carbotricyclic compound, an alkaloid, an aromatic ether and a member of acetamides.",Metabolite,0.4681,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['colchicin', 'alkaloid', 'carbotricycl', 'compound', 'compris', 'tetrahydrobenzo', 'heptalen', 'four', 'methoxi', 'substitu', 'posit', 'well', 'oxo', 'group', 'posit', 'acetamido', 'group', 'posit', 'isol', 'plant', 'belong', 'genus', 'colchicum', 'role', 'microtubul', 'destabilis', 'agent', 'plant', 'metabolit', 'carbotricycl', 'compound', 'alkaloid', 'aromat', 'ether', 'member', 'acetamid']"
1205,9223,1-benzofuran is a benzofuran consisting of fused benzene and furan rings. It is the parent compound of the class of 1-benzofurans. It is a benzofuran and a member of 1-benzofurans.,No annotation,0.6475,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['benzofuran', 'benzofuran', 'consist', 'fuse', 'benzen', 'furan', 'ring', 'parent', 'compound', 'class', 'benzofuran', 'benzofuran', 'member', 'benzofuran']"
1206,2242,Methyl alpha-aspartylphenylalaninate is a peptide.,Metabolite,0.7973,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['methyl', 'alpha', 'aspartylphenylalanin', 'peptid']"
1207,17584476,"1-(2,3-Dihydro-1,4-benzodioxin-3-ylmethyl)-5-ethoxy-isatin is a benzodioxine. It has a role as an anticoronaviral agent.",No annotation,0.603,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['dihydro', 'benzodioxin', 'ylmethyl', 'ethoxi', 'isatin', 'benzodioxin', 'role', 'anticoronavir', 'agent']"
1208,679,"Dimethyl sulfoxide is a 2-carbon sulfoxide in which the sulfur atom has two methyl substituents. It has a role as a polar aprotic solvent, a radical scavenger, a non-narcotic analgesic, an antidote, a MRI contrast agent, an Escherichia coli metabolite, a geroprotector and an alkylating agent. It is a sulfoxide and a volatile organic compound.",Drug,0.547,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['dimethyl', 'sulfoxid', 'carbon', 'sulfoxid', 'sulfur', 'atom', 'two', 'methyl', 'substitu', 'role', 'polar', 'aprot', 'solvent', 'radic', 'scaveng', 'non', 'narcot', 'analges', 'antidot', 'mri', 'contrast', 'agent', 'escherichia', 'coli', 'metabolit', 'geroprotector', 'alkyl', 'agent', 'sulfoxid', 'volatil', 'organ', 'compound']"
1209,15070,Picolinamide is a pyridinecarboxamide that is the monocarboxylic acid amide derivative of picolinic acid. It is functionally related to a picolinic acid.,Metabolite,0.7789,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['picolinamid', 'pyridinecarboxamid', 'monocarboxyl', 'acid', 'amid', 'deriv', 'picolin', 'acid', 'function', 'relat', 'picolin', 'acid']"
1210,447966,"LY 364947 is a member of the class of pyrazoles carrying pyridin-2-yl and quinolin-4-yl substituents at positions 3 and 4 respectively. It has a role as a TGFbeta receptor antagonist. It is a member of pyrazoles, a member of pyridines and a member of quinolines.",No annotation,0.5135,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['ly', 'member', 'class', 'pyrazol', 'carri', 'pyridin', 'yl', 'quinolin', 'yl', 'substitu', 'posit', 'respect', 'role', 'tgfbeta', 'receptor', 'antagonist', 'member', 'pyrazol', 'member', 'pyridin', 'member', 'quinolin']"
1211,3515873,"Methyl 7-(hydroxymethyl)-1-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate is a glycoside and an iridoid monoterpenoid.",No annotation,0.7919,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['methyl', 'hydroxymethyl', 'trihydroxi', 'hydroxymethyl', 'oxan', 'yl', 'oxi', 'tetrahydrocyclopenta', 'c', 'pyran', 'carboxyl', 'glycosid', 'iridoid', 'monoterpenoid']"
1212,8768,"3,4-dihydroxybenzaldehyde is a dihydroxybenzaldehyde.",Drug,0.3333,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['dihydroxybenzaldehyd', 'dihydroxybenzaldehyd']"
1213,73917,Monomethyl glutaric acid is a dicarboxylic acid monoester that the monomethyl ester of glutaric acid. It has a role as a human urinary metabolite. It is functionally related to a glutaric acid.,Metabolite,0.9644,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['monomethyl', 'glutar', 'acid', 'dicarboxyl', 'acid', 'monoest', 'monomethyl', 'ester', 'glutar', 'acid', 'role', 'human', 'urinari', 'metabolit', 'function', 'relat', 'glutar', 'acid']"
1214,3090,"Dimetridazole is a C-nitro compound that is 5-nitroimidazole in which the hydrogens at positions 1 and 2 are replaced by methyl groups. An antiprotozoal drug, it has been banned by both the Government of Canada and the European Union as a livestock feed additive owing to suspicions of it being carcinogenic. It has a role as an antiprotozoal drug and an antiparasitic agent. It is a C-nitro compound and a member of imidazoles.",Drug,0.7687,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['dimetridazol', 'c', 'nitro', 'compound', 'nitroimidazol', 'hydrogen', 'posit', 'replac', 'methyl', 'group', 'antiprotozo', 'drug', 'ban', 'govern', 'canada', 'european', 'union', 'livestock', 'feed', 'addit', 'owe', 'suspicion', 'carcinogen', 'role', 'antiprotozo', 'drug', 'antiparasit', 'agent', 'c', 'nitro', 'compound', 'member', 'imidazol']"
1215,233006,Phthalyltyrosine is a tyrosine derivative.,Drug,0.5496,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['phthalyltyrosin', 'tyrosin', 'deriv']"
1216,8249,"Phenformin is a member of the class of biguanides that is biguanide in which one of the terminal nitrogen atoms is substituted by a 2-phenylethyl group. It was used as an anti-diabetic drug but was later withdrawn from the market due to potential risk of lactic acidosis. It has a role as an antineoplastic agent, a geroprotector and a hypoglycemic agent. It is functionally related to a biguanide.",Drug,0.9422,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['phenformin', 'member', 'class', 'biguanid', 'biguanid', 'one', 'termin', 'nitrogen', 'atom', 'substitut', 'phenylethyl', 'group', 'use', 'anti', 'diabet', 'drug', 'later', 'withdrawn', 'market', 'due', 'potenti', 'risk', 'lactic', 'acidosi', 'role', 'antineoplast', 'agent', 'geroprotector', 'hypoglycem', 'agent', 'function', 'relat', 'biguanid']"
1217,25295,"N'-[(4-chlorophenyl)methyl]-N,N-dimethyl-N'-(2-pyridinyl)ethane-1,2-diamine is an aminopyridine.",No annotation,0.8368,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['n', 'chlorophenyl', 'methyl', 'n', 'n', 'dimethyl', 'n', 'pyridinyl', 'ethan', 'diamin', 'aminopyridin']"
1218,5639,Urapidil is a member of piperazines.,No annotation,0.7742,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['urapidil', 'member', 'piperazin']"
1219,3921152,(5-methoxy-1H-indol-2-yl)-phenylmethanone is a N-acylindole.,No annotation,0.9143,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['methoxi', 'h', 'indol', 'yl', 'phenylmethanon', 'n', 'acylindol']"
1220,5308150,"2-[2-oxo-6-(1-pyrrolidinylsulfonyl)-1,3-benzoxazol-3-yl]-N-(1,2,3,4-tetrahydronaphthalen-1-yl)acetamide is a benzoxazole.",No annotation,0.9255,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['oxo', 'pyrrolidinylsulfonyl', 'benzoxazol', 'yl', 'n', 'tetrahydronaphthalen', 'yl', 'acetamid', 'benzoxazol']"
1221,1561,2-heptyl-4-hydroxyquinoline N-oxide is an inhibitor of the mitochondrial respiratory chain at cytochrome bc1 and of photosynthetic electron flow immediately before cytochrome b559. It is a monohydroxyquinoline and a quinoline N-oxide.,No annotation,0.392,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['heptyl', 'hydroxyquinolin', 'n', 'oxid', 'inhibitor', 'mitochondri', 'respiratori', 'chain', 'cytochrom', 'bc', 'photosynthet', 'electron', 'flow', 'immedi', 'cytochrom', 'b', 'monohydroxyquinolin', 'quinolin', 'n', 'oxid']"
1222,7547,"Triclocarban is a member of the class of phenylureas that is urea substituted by a 4-chlorophenyl group and a 3,4-dichlorophenyl group at positions 1 and 3 respectively. It has a role as a disinfectant, an antiseptic drug, an antimicrobial agent, an environmental contaminant and a xenobiotic. It is a dichlorobenzene, a member of monochlorobenzenes and a member of phenylureas. It is functionally related to a 1,3-diphenylurea.",Drug,0.8282,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['triclocarban', 'member', 'class', 'phenylurea', 'urea', 'substitut', 'chlorophenyl', 'group', 'dichlorophenyl', 'group', 'posit', 'respect', 'role', 'disinfect', 'antisept', 'drug', 'antimicrobi', 'agent', 'environment', 'contamin', 'xenobiot', 'dichlorobenzen', 'member', 'monochlorobenzen', 'member', 'phenylurea', 'function', 'relat', 'diphenylurea']"
1223,13738,"N,N-diethyl-2-(3-phenyl-1,2,4-oxadiazol-5-yl)ethanamine is an oxadiazole and a ring assembly.",No annotation,0.9389,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['n', 'n', 'diethyl', 'phenyl', 'oxadiazol', 'yl', 'ethanamin', 'oxadiazol', 'ring', 'assembl']"
1224,225710,Methylcysteine is a cysteine derivative.,Metabolite,0.7759,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['methylcystein', 'cystein', 'deriv']"
1225,6194,5-[bis(2-chloroethyl)amino]uracil is a nitrogen mustard and an aminouracil.,Drug,0.4605,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['bis', 'chloroethyl', 'amino', 'uracil', 'nitrogen', 'mustard', 'aminouracil']"
1226,5173,"N,N'-dihydroxyoctanediamide is a hydroxamic acid.",No annotation,0.4583,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['n', 'n', 'dihydroxyoctanediamid', 'hydroxam', 'acid']"
1227,14135334,Chrysin-7-O-glucoronide is a member of flavonoids and a glucosiduronic acid.,No annotation,0.4951,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['chrysin', 'glucoronid', 'member', 'flavonoid', 'glucosiduron', 'acid']"
1228,3229,"Enoxacin is a 1,8-naphthyridine derivative that is 1,4-dihydro-1,8-naphthyridine with an ethyl group at the 1 position, a carboxy group at the 3-position, an oxo sustituent at the 4-position, a fluoro substituent at the 5-position and a piperazin-1-yl group at the 7 position. An antibacterial, it is used in the treatment of urinary-tract infections and gonorrhoea. It has a role as an antibacterial drug and a DNA synthesis inhibitor. It is a monocarboxylic acid, an amino acid, a 1,8-naphthyridine derivative, a N-arylpiperazine, a quinolone antibiotic and a fluoroquinolone antibiotic.",Drug,0.5813,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['enoxacin', 'naphthyridin', 'deriv', 'dihydro', 'naphthyridin', 'ethyl', 'group', 'posit', 'carboxi', 'group', 'posit', 'oxo', 'sustitu', 'posit', 'fluoro', 'substitu', 'posit', 'piperazin', 'yl', 'group', 'posit', 'antibacteri', 'use', 'treatment', 'urinari', 'tract', 'infect', 'gonorrhoea', 'role', 'antibacteri', 'drug', 'dna', 'synthesi', 'inhibitor', 'monocarboxyl', 'acid', 'amino', 'acid', 'naphthyridin', 'deriv', 'n', 'arylpiperazin', 'quinolon', 'antibiot', 'fluoroquinolon', 'antibiot']"
1229,5578,"Trimethoprim is an aminopyrimidine antibiotic whose structure consists of pyrimidine 2,4-diamine and 1,2,3-trimethoxybenzene moieties linked by a methylene bridge. It has a role as an EC 1.5.1.3 (dihydrofolate reductase) inhibitor, a xenobiotic, an environmental contaminant, a drug allergen, an antibacterial drug and a diuretic. It is a member of methoxybenzenes and an aminopyrimidine.",Drug,0.8964,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['trimethoprim', 'aminopyrimidin', 'antibiot', 'whose', 'structur', 'consist', 'pyrimidin', 'diamin', 'trimethoxybenzen', 'moieti', 'link', 'methylen', 'bridg', 'role', 'ec', 'dihydrofol', 'reductas', 'inhibitor', 'xenobiot', 'environment', 'contamin', 'drug', 'allergen', 'antibacteri', 'drug', 'diuret', 'member', 'methoxybenzen', 'aminopyrimidin']"
